to adabdon to	từ bỏ;bỏ;ruồng bỏ;bỏ lại
to abandon oneself to	chìm đắm;thèm muốn;buông thả vào 
abashed at	bối rối;lúng túng
abashed by	bối rối;lúng túng 
aid and abet	khuyến khích;giúp đỡ;tiếp tay;chống lưng
ABC of gardening	sách hướng dẫn làm vườn
in abeyance	tạm thời ngưng lại;tạm thời trì hoãn lại;bị trì hoãn lại;không có hệu lực
fall into abeyance	tạm ngưng;tạm hoãn
go into abeyance	tạm ngưng;tạm hoãn;tạm dừng
as easy as	quá dễ dàng;dễ như trở bàn tay 
abhorreat from	mâu thuẫn với;trái với;không hợp với 
abhorreat of	ghê tởm;căm ghét;ghét cay ghét đắng 
abhorreat to	đáng ghét;ghê tởm;bị ghét bỏ
to abet in	xúi giục;xúi bẩy;tiếp tay;kích động
to abide	chịu đựng;tha thứ;chờ đợi;ở;ngụ tại 
to abide by	chấp nhận;tuân theo;tôn trọng;trung thành với 
ability for	có năng khếu về;có tài năng về
ability in	có năng khếu về;có tài năng về
to the best of one's ability	với tất cả khả năng của mình 
able-bodied	khỏe mạnh;cường tráng;đủ tiêu chuẩn
abomiable to	ghê tởm đối với;làm ghê tởm 
to abound in	đầy rẫy;đầy dẫy;có nhiều;rất là
to abound with	đầy rẫy;có nhiều;rất là
abound in difficulties for	rất khó cho
abounding in	có rất nhiều;phong phú;nhan nhản 
about and about	rất giống nhau 
about face	trở mặt;thay lòng đổi dạ;thay đổi thái độ;thay đổi ý kiến;qay đằng sau 
about right	gần đúng;tạm được;tàm tạm
somewhere about	ở đâu đó;ở gần đây 
about to	sắp;chuẩn bị;mong muốn;cầu mong;đang làm;nói về cái gì;là làm sao;dậy được;có mặt 
about turn!	đàng sau quay 
what about	thế nào rồi;ra sao rồi;thế nào
how about	được chứ 
above all	trước hết là;quan trọng nhất;chủ yếu là;hơn tất cả
above in	vượt quá;hơn 
above oneself	tự mãn;tự phụ;kiêu ngạo;ngạo mạn 
above par	cảm thấy khỏe 
aboce under par	cảm thấy mệt mỏi
above	không đáng bị
above	không thèm làm
all meanness and fraud	việc hèn hạ và gian lận
above-board	thẳng thắn;trung thực;chính trực;ngay thẳng 
abreast of	đến bên cạnh;tới sát gầng
keep abreast of with	theo kịp;bắt kịp
abscond from	lẩn trốn;bỏ trốn
abscond with	trốn tránh pháp luật;bỏ trốn;đào tẩu 
absent oneself from	không dự;vắng mặt 
absent from	vắng;thiếu thốn;không có 
absent-minded	lơ đãng;hay quên;đãng trí 
absolve from	tha tội;tuyên án vô tại;miễn trách
absolve of	tha tội;tuyên án vô tại;miễn trách
absorbed by	hấp thụ
absorbed into	hấp thụ 
absorbed in	mải mê;say mê 
abstain from	kiêng;kiêng khem
abstimence from	kiêng
abstract from	lấy ra từ;rút ra từ;tách ra từ
abudant in	dồi dào;phong phú
abudant with	dồi dào;phong phú 
abudance of	dư dật;dồi dào;dạt dào 
accede to	đồng ý;tán thành;chấp thuận;nhậm chức;gia nhập 
accept as	chấp nhận;tin là
accept for	thừa nhận;thú nhận 
accept one;s fate with resignation	cam chịu số phận;chịu đựng số phận 
acceptable	chấp nhận;thừa nhận;hoan nghênh 
access to	lối vào;lối tới;có dịp tới gặp;có quyền tới gặp 
accessory to	đồng lõa, tòng phạm
by accident	tình cờ;vô tình;ngẫu nhiêu 
accidents will happen	phải chấp nhận rủi ro xảy ra 
accommodate oneself to	làm cho phù hợp với;làm cho thích nghi với
accommodate to	làm cho phù hợp với;làm cho thích ứng với 
accommodate with	cung cấp;cấp cho;cho vay;cho ứng;thay đổi;điều chỉnh
accompany to	đi cùng;theo cùng 
accompanied at	đệm nhạc
accompanied on	đệm nhạc 
accompanied by	đi cùng;theo cùng
accompanied with	đi cùng;theo cùng
accomplice with	đồng lõa;tòng phạm;thông đồng 
accomplished fact	sự việc đã rồi;việc đã rồi 
accomplished in	có tài năng về;có năng khiếu về 
accord to	cho;ban cho;cấp cho
accord permission to	cho phép
accord with	phù hợp với;thống nhất với 
in accord with	phù hợp với 
of one's own accord	tự nguyện;không bắt buộc;không đòi hỏi 
in accordance with	có sự thỏa thuận với 
according as	tùy theo
according to	theo;theo như;y theo 
account for	giải thích;phá hủy;bắn hạ;giết;làm chết
account to	giải thích
by all account	theo sự đán giá;theo ý kiến chung
from all accounts	theo sự đán giá;theo ý kiến chung
accordling to all account	theo sự đán giá;theo ý kiến chung
by one's own account	theo điều mà người ta nói;theo ý kiến bản thân;theo ý kiến cá nhân 
cook doctor	giả mạo sổ sách;kê khai gian;kê khai giả mạo;làm sai lệch
cook an account	giả mạo sổ sách;kê khai gian;kê khai giả mạo;làm sai lệch
call to account for	bắt ai giải thích;ép ai giải thích 
call to account over	bắt ai giải thích;ép ai giải thích 
give a good account for oneself	gây được danh tiếng;đạt được kết quả tốt trong thi đấu 
leave out of account	không quan tâm đến;không màng tới;không điếm xỉa tới;coi thường;khinh thường 
on account of	vì là;tại vì;vì lý do do này nọ
on no account	không vì lý do nào
on one's own account	vì bản thân mình;vì lợi ích cá nhân 
take account of	kể đến;lưu tâm đến;đếm xỉa đến 
take into account	kể đến;lưu tâm đến;đếm xỉa đến 
run up an account	mua hàng bằng cách ghi nợ 
accountable to	chịu trách nhiệm
accountable for	chịu trách nhiệm 
accrue from	sinh ra từ;bắt nguồn từ;có nguồn gốc từ 
accrue to	đổ dồn về;chạy dồn về
accurate in	chính xác trong
accuse of	buộc tội;kết tội 
accustom oneself to	tập quen với;tập thích nghi với 
accustomed to	quen với;thành thói quen với;thành thường lệ 
acid test	sự thử axit;hòn đá thử vàng;sự thử thách gay go
acknowledge as	thừa nhận;công nhận
acquaint oneself with	làm quen với; tập quen với
acquaint with	báo cho biết;báo cho hay;cho hay
acquainted with	quen biết;quen thuộc;làm quen với 
make acquaintance	làm quen 
make acquaintance of	làm quen 
scrape an acquaintance with	cố làm quen bằng được
acquaintance with	quen biết;hiểu biết;biết
acquiesce in	bằng lòng;đồng ý;ưng thuận;chấp thuận
acquit of	tha bổng;tuyên bố trắng án
acquit oneself of	làm xong nhiệm vụ;hoàn thành lời hứa
acquit oneself well	xử sự tốt;làm tốt phần mình 
act as	làm;làm như là 
act for	hành động;đỡ đần;làm thay
sollicitor	cố vấn pháp luật;cố vấn pháp lý 
act from	hành động là vì;làm gì
act in concert with	hành động phối hợp với
act on	làm ảnh hưởng đến;tác động đến;làm theo 
act out of	hành động do bởi 
act up	phản ứng lại;phản kháng;làm bực mình 
act up to	hành động đúng với;hành động phù hợp với 
in act to	sắp sửa;chuẩn bị
in on the act	dính lứu;liên quan;tham gia vào
get in on the act	dính lứu;liên quan;tham gia vào
do a disappearing act	biến mất;biến đi;lánh mặt;trốn mặt 
in the very act	khi đang hành động;quả tang
catch in the very act	bắt quả tang
catch red-hanfed	bắt quả tang
put on an act	khoe khoang;khoe mẽ
act of grace	hành động chiếu cố;đặc ân 
act of god	thiên tai;thảm họa tự nhiên 
adapt for	điều chỉnh chu phù hợp;điều chỉnh cho thích nghi
adapt to	điều chỉnh chu phù hợp;điều chỉnh cho thích nghi
adapt oneself to	thích nghi với;thích ứng với
adapt from	phỏng theo;dựa theo;chuyển thể từ
adaptation of a means to an end	sự cải tiến phương tiện cho phù hợp với mục đích sử dụng 
add in	cho vào;đổ thêm vào;tính vào 
add on	kèm theo;gồm cả;tính gộp vào
add to	thêm vào;cộng vào;tăng thêm 
add up	tính tổng;có vẻ hợp lý;có vẻ thích hợp;có ý nghĩa 
add up to	lên đến;đạt tới 
addict to	nghiện;say mê;ham thích 
addle one;s head with	rối trí;rối óc;quẫn trí;bù đầu 
addled egg	trứng ung;trứng thối;trứng hỏng 
address to	ghi địa chỉ;gửi đến;chuyển đến;chuyển tới 
address as	gọi là;xem là 
address oneself to	hướng sự chú ý vào;liên hệ với
adequate to	đủ với;đầy đủ với;đáp ứng với;xứng đáng với 
adhere to	dính chặt vào;bám chặt vào;tham gia;gia nhập;tôn trọng triệt để;trung thành;gắn bó với;tuân thủ
adjust oneself to	điều chỉnh cho phù hợp với 
adherence to	sự dính chặt vào;sự bám chặt vào;sự tham gia vào;sự tôn trọng;sự gắn bó;sự trung thành
adjecent to	sát;gần;kế bên;liền kề 
adjoin to	nối
adjoining	liền kề;sát vách 
adjourn to	hoãn;trì hoãn;để lại;dời sang;chuyển sang 
ad lib	cương thêm;nói thêm;hát thêm;chơi thêm
give an ad lib performance	trình diễn không chuẩn bị trước
ad lib speech	bài phát biểu không chuẩn bị trước 
administer to	phân phát;cung cấp
administer an oath to	làm lễ tuyên thệ;ăn thề
admire for	khâm phục;khen ngợi;ca tụng 
admit of	có;có chỗ
admit of no meaning	không có nghĩa 
admit to	chấp nhận;nhận vào;kết nạp
admit into	chấp nhận;nhận vào;kết nạp
admitted to presence	được phép vào gặp 
admonish for	trách móch;la mắng;khuyên nhủ;răn bảo;răn dạy 
admonish against	trách móch;la mắng;khuyên nhủ;răn bảo;răn dạy 
admonish of	cảnh báo;báo trước;nhắc;nhắc nhở
adorned with	được trang trí bằng;được trang hoàng bằng 
advance a distance of	tiến đến 
advance at the double	tiến lên theo bước chạy đều
advance in	tăng;tăng lên;tiến bộ về 
advance on	tiến đến
advance towards	tiến đến 
advance to	đặt tiền trước;trả trước 
advances in years	tuổi cao;nhiều tuổi;có tuổi
advanced in life	tuổi cao;nhiều tuổi;có tuổi
in advance	trước;trước thời hạn 
gain an advantage over	giành được lợi thế;chiếm lợi thế;chiếm ưu thế
have the advantage of	có lợi thế hơn 
one's advantage	có lợi cho
take advantage of	tận dụng;lợi dụng 
advantageous to	thuận lợi cho 
adverse to	bất lợi cho;có hại cho 
advise against	khuyên nhủ;khuyên bảo;can ngăn
advise of	báo;báo tin;thông báo 
advise to the contrary	khuyên;khuyên bảo;khuyên nhủ 
advise with	tham vấn;hỏi ý kiến;xin ý kiến 
act on advice	làm theo;nghe theo;thực hiện theo
follow advice	làm theo;nghe theo;thực hiện theo
take advice	nghe theo;làm theo 
affable to	lịch sự;lễ phép;hòa nhã
afdected by	bị xúc động;xúc động 
afdected with	bị ô nhiễm;bị mắc bệnh;bị bệnh;bị nhiễm
affected by	bị ô nhiễm;bị mắc bệnh;bị bệnh;bị nhiễm
have an affection for	có cảm tỉnh với;thương yêu
affectionate towards	thương yêu;trìu mến 
affiliate to	sáp nhập;hợp nhất
affinity with	có mối quan hệ với;có họ hàng với;có dây mơ rễ má với 
affix to on	đóng vào;gắn vào;đính vào;thêm vào
affix to upon	đóng vào;gắn vào;đính vào;thêm vào
afflicted at	đau đớn;đau buồn
afflicted by	đau đớn;đau buồn
afflicted with	đau đớn;đau buồn
affronted at	bị xúc phạm;bị lăng mạ;bị xỉ nhục
affronted by	bị xúc phạm;bị lăng mạ;bị xỉ nhục
afraid of	sợ;sợ hãi;lo sợ
afraid of one's own shadow	nhút nhát;sợ chết 
after all	cuối cùng;sau cùng;rốt cuộc;tóm lại
after due consideration	sau khi xem xét;sau khi cân nhắc;sau khi bàn bạc;sau khi suy tính;sau khi suy nghĩ kỹ 
be after	theo đuổi;tìm kiếm 
after in a fashion	tạm được;tàm tạm
after no good	có âm mưu;có mưu đồ;có tâm địa
after one's own heart	đồng lòng;đồng tâm;hợp ý;tâm đầu ý hợp 
after rain comes fair weather	hết cơn bĩ cực đến tuần thái lai
after starm comes a calm	hết cơn bĩ cực đến tuần thái lai
over again	lần hai;lần thứ hai 
all over gain	lần hai;lần thứ hai 
time and again	nhiều lần;lặp đi lặp lại
time after time	nhiều lần;lặp đi lặp lại
